profissão,grupo,proporcao,fonte
atriz,Ténicos em áudio visual,40,https://abcine.org.br/site/elas-por-tras-das-cameras-reflexoes-sobre-as-mulheres-no-audiovisual/
médica,médica,"46,6",https://portal.cfm.org.br/noticias/em-20-anos-dobra-o-numero-de-mulheres-que-exercem-a-medicina-no-brasil/?lang=en
enfermeira,Enfermeira,85,https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/b06abac34a360666981b4b86621776f2.pdf
advogada,Advogados e juristas,"50,1",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
diretora,Diretores e gerentes,"41,8",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
oficial,"Membros das forças armadas, policiais e bombeiros militares","13,2",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
secretária,Trabalhadores de apoio administrativo,"64,5",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
bailarina,Profissionais de Espetáculos e das Artes,53,https://arteref.com/podcasts/mulheres-artistas-representam-2-do-mercado-como-mudar-isto/
jornalista,Jornalista,58,https://fenaj.org.br/mais-pessoas-negras-e-menos-mulheres-no-mesmo-trabalho-exaustivo-o-perfil-de-jornalistas-no-brasil-em-2021/
especialista,Diretores e gerentes,"41,8",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
repórter,Jornalista,58,https://fenaj.org.br/mais-pessoas-negras-e-menos-mulheres-no-mesmo-trabalho-exaustivo-o-perfil-de-jornalistas-no-brasil-em-2021/
motorista,Operadores de instalações e máquinas e montadores,"13,8",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
mestre,Diretores e gerentes,"41,8",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
física,"Físicos, Químicos e Afins","46,5",https://biblioteca.ibge.gov.br/visualizacao/livros/liv101784_informativo.pdf
cabo,"Membros das forças armadas, policiais e bombeiros militares","13,2",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
babá,Trabalhadores dos serviços domésticos em geral,95,https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/b06abac34a360666981b4b86621776f2.pdf
dançarina,Profissionais de Espetáculos e das Artes,53,https://arteref.com/podcasts/mulheres-artistas-representam-2-do-mercado-como-mudar-isto/
gerente,Diretores e gerentes,"41,8",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
deputada,Deputada,"14,8",https://www12.senado.leg.br/institucional/procuradoria/proc-publicacoes/mais-mulheres-na-politica-retrato-da-subrepresentacao-feminina-no-poder
química,"Físicos, Químicos e Afins","46,5",https://biblioteca.ibge.gov.br/visualizacao/livros/liv101784_informativo.pdf
matemática,"Matemáticos, Estatísticos e Afins",11,https://g1.globo.com/educacao/noticia/2019/07/26/matematicas-respondem-por-26percent-do-total-de-cientistas-mas-so-11percent-das-bolsas-do-cnpq-vao-para-elas.ghtml
cineasta,Profissionais de Espetáculos e das Artes,53,https://arteref.com/podcasts/mulheres-artistas-representam-2-do-mercado-como-mudar-isto/
compositora,Profissionais de Espetáculos e das Artes,53,https://arteref.com/podcasts/mulheres-artistas-representam-2-do-mercado-como-mudar-isto/
juíza,Advogados e juristas,"50,1",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
dirigente,Diretores e gerentes,"41,8",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
psicóloga,Ciências sociais e comportamentais,"70,4",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/b06abac34a360666981b4b86621776f2.pdf
promotora,Advogados e juristas,"50,1",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
prefeita,Prefeita,"11,57",https://www12.senado.leg.br/institucional/procuradoria/proc-publicacoes/mais-mulheres-na-politica-retrato-da-subrepresentacao-feminina-no-poder
coronel,"Membros das forças armadas, policiais e bombeiros militares","13,2",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
