bolukbasi profissoes análise,,,,,
,,,,,
Maiores diferenças positivas das similaridades (o que indica que a profissão esta mais próxima do pronome feminino),,,,,
top 18,profissão,grupo,top18,profissão,grupo
1,enfermeira,Enfermeira,10,taquígrafa,Trabalhadores de apoio administrativo
2,bailarina,Profissionais de Espetáculos e das Artes,11,psicóloga,Ciências sociais e comportamentais
3,babá,Trabalhadores dos serviços domésticos em geral,12,estatística,"Matemáticos, Estatísticos e Afins"
4,fonoaudióloga,Especialistas em métodos pedagógicos,13,nutricionista,Nutricionnista
5,juíza,Advogados e juristas,14,recepcionista,Balconistas e vendedores de lojas
6,maquiadora,Especialistas em tratamento de beleza e afins,15,vidraceira,Trabalhadores de Construção civil
7,química,"Físicos, Químicos e Afins",16,fisioterapeuta,Fisioterapeuta
8,dermatologista,Dermatologista,17,repórter,Jornalista
9,atriz,Ténicos em áudio visual,18,farmacêutica,Farmacêutico
top 18,profissão,grupo,top18,profissão,grupo
1,soldado,"Membros das forças armadas, policiais e bombeiros militares",10,geógrafo,Ciências sociais e comportamentais
2,carpinteiro,Trabalhadores das Indústrias de Madeira e do Mobiliário,11,corretor,Negócios e administração
3,marinheiro,Operadores de instalações e máquinas e montadores,12,senador,Senadora
4,piloto,Pilota,13,dirigente,Diretores e gerentes
5,bombeiro,Bombeira,14,prefeito,Prefeita
6,encanador,Trabalhadores de Construção civil,15,vereador,Vereadora
7,serralheiro,Trabalhadores de Usinagem de Metais e de Compósitos,16,programador,Programadora
8,garimpeiro,"Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca",17,limpador,Trabalhadores dos serviços domésticos em geral
9,procurador,Advogados e juristas,18,sonoplasta,Ténicos em áudio visual
