Grupos,Média das diferenças
Especialistas em métodos pedagógicos,"0,0887222356"
Especialistas em tratamento de beleza e afins,"0,0751941895"
Profissionais de Espetáculos e das Artes,"0,060183164"
Trabalhadores dos serviços domésticos em geral,"0,0569501736"
"Matemáticos, Estatísticos e Afins","0,05234409833"
Balconistas e vendedores de lojas,"0,0312036986"
"Físicos, Químicos e Afins","0,01651347333"
Ténicos em áudio visual,"0,015155629"
Jornalista,"0,01416415667"
Trabalhadores de apoio administrativo,"0,01025858937"
Ciências sociais e comportamentais,"-0,00893441"
Advogados e juristas,"-0,03620782375"
Diretores e gerentes,"-0,06519271667"
Trabalhadores de Construção civil,"-0,0779838977"
Negócios e administração,"-0,086811551"
"Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca","-0,0898435398"
Trabalhadores de Usinagem de Metais e de Compósitos,"-0,09306518"
Operadores de instalações e máquinas e montadores,"-0,1285198784"
"Membros das forças armadas, policiais e bombeiros militares","-0,1340276889"
